,Unnamed: 0,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,125,Piping Plover,Charadrius melodus,2020-09-22 18:20,Galveston--8 mile Beach/Sunny Beach area,1.0,29.2349195,-94.8829937,2020
1,227,Yellow-billed Cuckoo,Coccyzus americanus,2020-09-22 15:43,Quintana Neotropical Bird Sanctuary (UTC 121),1.0,28.933622600000003,-95.30872459999999,2020
2,257,Wood Stork,Mycteria americana,2020-09-22 13:45,White Point & Koonce Loop,3.0,27.8710619,-97.4199343,2020
3,366,Yellow-billed Cuckoo,Coccyzus americanus,2019-09-22 20:08,Caddo Lake SP (PPW-E 089),5.0,32.6924823,-94.1768217,2019
4,368,Wood Stork,Mycteria americana,2019-09-22 20:08,Caddo Lake SP (PPW-E 089),9.0,32.6924823,-94.1768217,2019
5,657,Piping Plover,Charadrius melodus,2019-09-22 11:20,Kleberg County Beach N. of National Seashore,8.0,27.551293800000003,-97.23637459999999,2019
6,846,Wood Stork,Mycteria americana,2018-09-22 18:21,"Highway 6, Houston, Texas, US (29.792, -95.646)",1.0,29.7915363,-95.6455025,2018
7,877,Piping Plover,Charadrius melodus,2018-09-22 17:37,"East Cotter Avenue, Port Aransas, Texas, US (27.835, -97.047)",1.0,27.8353423,-97.04738459999999,2018
8,898,Yellow-billed Cuckoo,Coccyzus americanus,2018-09-22 17:11,Bentsen-Rio Grande Val. SP--HQ Buildings area,1.0,26.185605499999998,-98.37993979999999,2018
9,1127,Piping Plover,Charadrius melodus,2017-09-22 19:18,Bolivar Flats Shorebird Sanctuary (UTC 058),6.0,29.371137100000006,-94.7287083,2017
10,1154,Wood Stork,Mycteria americana,2017-09-22 19:00,Texas A&M--Corpus Christi,1.0,27.711304499999997,-97.3275375,2017
11,1389,Yellow-billed Cuckoo,Coccyzus americanus,2017-09-22 09:00,Resaca de la Palma National Battlefield,1.0,25.937467,-97.4865282,2017
12,1451,Wood Stork,Mycteria americana,2016-09-22 19:30,Hwy 44/24,1.0,27.7840749,-97.60375140000001,2016
13,1661,Piping Plover,Charadrius melodus,2016-09-22 10:35,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),19.0,26.140091199999997,-97.1748233,2016
14,1685,Yellow-billed Cuckoo,Coccyzus americanus,2016-09-22 09:24,Trinity River NWR--Champion Lake (UTC 032B)(temporarily not accessible),1.0,29.920977299999997,-94.7990205,2016
15,1885,Yellow-billed Cuckoo,Coccyzus americanus,2015-09-22 14:55,Edinburg Scenic Wetlands WBC (LTC 061),1.0,26.2905822,-98.13519090000001,2015
16,1921,Piping Plover,Charadrius melodus,2015-09-22 12:00,Texas City Dike (UTC 074),1.0,29.383895199999998,-94.867115,2015
17,2039,Wood Stork,Mycteria americana,2015-09-22 06:55,Salineño Wildlife Preserve (LTC 080),1.0,26.514858399999998,-99.11620620000001,2015
18,2178,Yellow-billed Cuckoo,Coccyzus americanus,2010-09-22 10:30,Lake Weatherford--Northwest,1.0,32.801662,-97.70119,2010
19,2201,Wood Stork,Mycteria americana,2010-09-22 09:05,Texas-Nueces Co.-Corpus Christi- Bazemore Park Hawk Platform,3.0,27.8659213,-97.64257370000001,2010
20,2268,Piping Plover,Charadrius melodus,2010-09-22,Port Aransas Nature Preserve at Charlie's Pasture,1.0,27.8327765,-97.0873833,2010
21,2348,Wood Stork,Mycteria americana,2005-09-22 09:00,Hazel Bazemore Park Hawkwatch Platform,3.0,27.866055100000004,-97.6427346,2005
22,2390,Yellow-billed Cuckoo,Coccyzus americanus,2005-09-22 07:35,Heard Nat. Sci. Mus.& Wildlife Sanct,1.0,33.158450300000005,-96.61533759999999,2005
